"","ParTotS","ParTotL","ParTotAV","ParTotC","ParTotMod","ParTotRrob","ParTotrobHAB","ParTotrobLAB","ParTotrobHBTL","ParTotrobLBTL","Long","Lat","ATemp","TSeas","APrec","PSeas"
"1",42,96,2.28571428571429,0.222222222222222,0.290256076388889,0.625078413273918,0.930908406856635,0.805048430005728,0.542566957324761,0.503700796208311,71.416667,51.166667,21,13622,311,44
"2",32,108,3.375,0.521739130434783,0.182355967078189,0.444470110783726,0.913774962949174,0.888411803157007,0.59702601589055,0.737141529560461,89,49,-8,11915,125,85
"3",27,52,1.92592592592593,0.412698412698413,0.287721893491124,0.718519975234213,0.819648319660883,0.888180278265119,0.668158199074004,0.475765323945037,127.533333,50.283333,10,15611,558,97
"4",53,123,2.32075471698113,0.20777027027027,0.335911163989689,0.612828875906162,0.904966119775297,0.858515181790281,0.648728942775395,0.475595476809418,44.516602,40.183529,109,9300,333,42
"5",25,43,1.72,0.316176470588235,0.369388858842618,0.61362162952462,0.908572439799691,0.883590199409182,0.605287895042736,0.404750697059724,129.166667,66.4,-165,21367,327,72
"6",32,37,1.15625,0.192708333333333,0.490869247626004,0.564740042317959,0.723604530211134,0.821258805112315,0.629939333525366,0.362586265981511,69.595833,42.316667,123,9905,512,62
"7",36,97,2.69444444444444,0.314935064935065,0.216069720480391,0.577635475486539,0.926927068116093,0.815464351107187,0.600690524177999,0.559307533107717,80,45,-88,10790,608,59
"8",49,88,1.79591836734694,0.157706093189964,0.458935950413223,0.640482872628738,0.942172957920413,0.885906511441561,0.46939291253059,0.426320471834035,74.333333,46.166667,72,12809,140,31
"9",30,63,2.1,0.391304347826087,0.246913580246914,0.6446403852247,0.814421865997211,0.836721765269874,0.774463542947467,0.513484865912386,68.423056,38.7775,70,8223,750,74
"10",27,52,1.92592592592593,0.412698412698413,0.287721893491124,0.717003753515024,0.819648319660883,0.888180278265119,0.698743736030246,0.475765323945037,135.066667,48.483333,18,14810,676,76
"11",36,127,3.52777777777778,0.403174603174603,0.198214396428793,0.612916551194042,0.979577754774167,0.884587153477698,0.645539192526897,0.690352797829407,40.933333,57.766667,42,10446,620,30
"12",27,36,1.33333333333333,0.222222222222222,0.417438271604938,0.517197808241987,0.823652350773167,0.885723688071475,0.484180621109222,0.333981007502774,93.066667,56.016667,10,12442,473,51
"13",29,51,1.75862068965517,0.242857142857143,0.318339100346021,0.551208059516759,0.837509023162016,0.823438440708195,0.43106022670888,0.446826364674188,148.710938,65.694476,-141,18881,255,65
"14",56,174,3.10714285714286,0.224516129032258,0.256176509446426,0.557158857555202,0.884040202983695,0.810823324134743,0.59290489012677,0.625556757059016,82.933333,55.016667,10,13122,449,46
"15",47,198,4.21276595744681,0.36,0.171946740128558,0.483681129715624,0.919025334305499,0.966928465302361,0.647929953275493,0.525354409878295,21.016667,52.233333,78,7778,501,38
"16",17,35,2.05882352941176,0.486111111111111,0.193469387755102,0.527130082193093,0.869516166005363,0.944180622810732,0.528743153434567,0.550938656459601,60.644531,65.127638,-77,12130,625,35
"17",38,90,2.36842105263158,0.252100840336134,0.317037037037037,0.576516517025746,0.95687395367555,0.893395559367221,0.500176796299871,0.42373091717341,19.493866,48.719961,49,7062,966,32
"18",30,52,1.73333333333333,0.26,0.351701183431953,0.609425174085505,0.832905561518564,0.760605327986386,0.665431319289606,0.555528721554729,46.761932,39.661742,62,7677,580,49
"19",21,50,2.38095238095238,0.454545454545455,0.2284,0.513712043589824,0.954059369900262,0.937935137575381,0.53747643158164,0.529219169182676,96.152344,72.659588,-127,14943,292,41
"20",53,84,1.58490566037736,0.125,0.400085034013605,0.533364738704207,0.813888150838958,0.804289992011399,0.529974593991103,0.435764321137523,82.036028,47.734879,8,13216,416,23
"21",53,197,3.71698113207547,0.280626780626781,0.215955061970162,0.572841030034411,0.986736243072602,0.885145722714255,0.527806351501901,0.553502920924266,75.591431,54.562508,9,13871,352,50
"22",37,100,2.7027027027027,0.34965034965035,0.2226,0.663145061384917,0.914940082214649,0.777707299047293,0.687350766026525,0.62923008482802,95.765076,51.851049,-80,15820,517,75
"23",26,71,2.73076923076923,0.422619047619048,0.236857766316207,0.475675205460966,0.962758631797708,0.963761116668957,0.503315284236441,0.467955192848386,52.362815,51.420062,54,12894,345,24
"24",57,77,1.35087719298246,0.1,0.598245909934222,0.535469950797442,0.917731123292339,0.84254748727412,0.313701217666116,0.222668489599905,-114.6822193,34.10231964,222,7974,113,47
"25",165,114,0.690909090909091,0.0170812106682649,0.879886118805786,0.468931253965902,0.656490808433951,0.667257453532979,0.497523070917653,0.367725459839518,-88.98623133,16.73348654,236,1631,1983,48
