,PolTotS,PolTotL,PolTotAV,PolTotC,PolTotMod,PolTotRrob,PolTotrobHAB,PolTotrobLAB,PolTotrobHBTL,PolTotrobLBTL,Long,Lat,ATemp,TSeas,APrec,PSeas
1,114,167,1.464912281,0.136437908,0.469970239,0.77366197,0.956721338,0.879647034,0.643395843,0.220651075,-66.071245,46.553731,44,10217,1088,10
2,78,146,1.871794872,0.140790743,0.339650966,0.603601519,0.965199407,0.942576462,0.441681258,0.241482008,1.575532,52.762395,103,4786,618,15
3,142,242,1.704225352,0.085451977,0.467181203,0.765537262,0.972453779,0.810383112,0.687882383,0.34741605,18.5,68.35,-35,7323,639,29
4,65,103,1.584615385,0.204365079,0.438684136,0.773101099,0.976909489,0.819913811,0.757428914,0.3523102,30.133333,-29.616667,146,3272,917,65
5,205,412,2.009756098,0.088525999,0.391825337,0.792340844,0.98974101,0.85782795,0.675400886,0.326281865,-6.55,37.016667,178,5009,521,64
6,104,299,2.875,0.151392405,0.267592085,0.69101459,0.970672091,0.927850648,0.504561802,0.361577888,-2.589902,51.574994,99,4544,800,16
7,111,190,1.711711712,0.104395604,0.400526316,0.552608656,0.909806225,0.925555604,0.491257203,0.229076704,-71.3,81.816667,-180,13457,110,44
8,95,125,1.315789474,0.075483092,0.526528,0.542046228,0.885837538,0.888595172,0.459705379,0.224588289,-69.283333,-33,107,4654,243,19
9,57,143,2.50877193,0.25,0.281431855,0.698664254,0.98003004,0.898740801,0.619652721,0.439411713,-79.001843,36.075391,145,7651,1163,11
10,159,204,1.283018868,0.035978836,0.527994041,0.522861796,0.962300584,0.932510618,0.138353532,0.182807312,-91.12445681,-0.809883455,189,1640,1121,21
11,167,346,2.071856287,0.059840886,0.385654382,0.687248468,0.965362886,0.869492218,0.50629785,0.337921085,171.720224,-43.099531,51,3893,2615,14
12,81,109,1.345679012,0.073450135,0.490026092,0.588356476,0.850353984,0.752617181,0.620553659,0.431344588,-67.416667,8.933333,274,928,1209,84
13,97,156,1.608247423,0.066326531,0.5601167,0.529778585,0.875106939,0.775848576,0.409230619,0.448548585,-61.716667,5.583333,204,380,2404,53
14,40,65,1.625,0.281385281,0.350059172,0.692882408,0.984094678,0.886123449,0.578121492,0.316985282,-88.166667,40.133333,108,9821,955,25
15,154,312,2.025974026,0.09375,0.387933514,0.743874788,0.968775638,0.888284426,0.463899645,0.249813567,-73.583333,-42,105,2311,2279,42
16,97,178,1.835051546,0.081056466,0.415477844,0.466040365,0.898261438,0.929264466,0.338693152,0.44488656,-76.191667,17.916667,266,944,1715,47
17,68,129,1.897058824,0.148788927,0.43843519,0.755426379,0.979472478,0.803766749,0.558955525,0.404764165,-16.605556,28.268611,95,4704,498,89
18,205,425,2.073170732,0.120260328,0.374084429,0.830440088,0.995763854,0.893003491,0.626697016,0.275190059,9.266667,56.066667,73,5903,778,24
19,262,590,2.251908397,0.070870871,0.350089055,0.805379504,0.982740556,0.843259429,0.653703751,0.316076482,10.216667,56.066667,76,6051,615,21
20,104,164,1.576923077,0.13015873,0.44489887,0.778857019,0.970224844,0.887832845,0.609560533,0.260160621,-71.525206,-41.077069,84,4118,1210,57
21,393,589,1.498727735,0.020236377,0.524912012,0.57371236,0.917359838,0.85151754,0.499068456,0.265130169,131.5,33.4,143,7630,1891,56
22,113,319,2.82300885,0.123070988,0.26713574,0.607957534,0.931458638,0.852489435,0.559301056,0.422284543,3.235217,42.2973,149,5187,612,30
23,38,46,1.210526316,0.136904762,0.484404537,0.594101032,0.867812527,0.788302441,0.563942808,0.42963424,57.733333,20.7,271,3271,40,85
24,94,192,2.042553191,0.111304348,0.317464193,0.542802959,0.904021501,0.89370545,0.532829916,0.318611384,-57.841955,-37.885354,132,4249,851,18
25,76,132,1.736842105,0.098214286,0.395488981,0.524164103,0.964301844,0.907180971,0.375280935,0.293610754,-58.28485516,-37.75336478,140,4713,827,20
